Nome,CNES,CNPJ,Nome Empresarial,CPF,Personalidade,Logradouro,Número,Telefone,Complemento,Bairro,CEP,Município,UF,Tipo Estabelecimento,Sub Tipo Estabelecimento,Esfera Administrativa,Gestão,Natureza da Organização,Dependência,Número Alvará,Órgão Expedidor,Data Expedição,url,VCo_Unidade,VEstado,VCodMunicipio,_id
PSU VEREDAS I,3144658,,PSU VEREDAS I,--,JURÍDICA,QUADRA 03 LOTE 06,03,,AREA VEREDAS,BRAZLANDIA,72738990,BRAZLANDIA - IBGE - 530020,DF,POSTO DE SAUDE,,ESTADUAL,ESTADUAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=5300203144658&VEstado=53&VCodMunicipio=530020,5300203144658,53,530020,53ff9bb72a2a7d44711e6277
NUCLEO ODONTOLOGICO BRAZLANDIA,5431697,07408625000640,KR SERVICOS DE ODONTOLOGIA LTDA,--,JURÍDICA,SETOR NORTE QD 05 LOTES 07 E 08,S/N,,1 ANDAR,BRAZLANDIA,72705050,BRAZLANDIA - IBGE - 530020,DF,CLINICA/CENTRO DE ESPECIALIDADE,,PRIVADA,ESTADUAL,EMPRESA PRIVADA,INDIVIDUAL,00015/2009,SES,27/01/2009,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=5300205431697&VEstado=53&VCodMunicipio=530020,5300205431697,53,530020,53ff9bb72a2a7d44711e6278
ODONTOBRAZ,2627477,,FAGUNDES E COELHO LTDA,--,FÍSICA,QUADRA 4 LOTE,37,(61)3911997,SETOR NORTE,BRAZLANDIA,72710040,BRAZLANDIA - IBGE - 530020,DF,CONSULTORIO ISOLADO,,PRIVADA,ESTADUAL,EMPRESA PRIVADA,INDIVIDUAL,IV/09/02,SES,16/04/2002,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=5300202627477&VEstado=53&VCodMunicipio=530020,5300202627477,53,530020,53ff9bb72a2a7d44711e6279
JURANDIR AUGUSTO DE ARAUJO ALVES,6048617,,JURANDIR AUGUSTO DE ARAUJO ALVES,--,FÍSICA,SCDN BLOCO G LOJA,02,,SETOR NORTE,BRAZLANDIA,72705507,BRAZLANDIA - IBGE - 530020,DF,CONSULTORIO ISOLADO,,PRIVADA,MUNICIPAL,EMPRESA PRIVADA,INDIVIDUAL,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=5300206048617&VEstado=53&VCodMunicipio=530020,5300206048617,53,530020,53ff9bb72a2a7d44711e627a
INSPETORIA DE SAUDE DE BRAZLANDIA,3039889,,INSPETORIA DE SAUDE DE BRAZLANDIA,--,JURÍDICA,AREA ESPECIAL 04,09,(61)3911530,SETOR TRADICIONAL,BRAZLANDIA,72720650,BRAZLANDIA - IBGE - 530020,DF,UNIDADE DE VIGILANCIA EM SAUDE,,ESTADUAL,ESTADUAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=5300203039889&VEstado=53&VCodMunicipio=530020,5300203039889,53,530020,53ff9bb82a2a7d44711e627b
HRBZ,0010545,00054015000485,HOSPITAL REGIONAL DE BRAZLANDIA,--,JURÍDICA,AREA ESPECIAL,06,(61)34799600,,SETOR TRADICIONAL,72720660,BRAZLANDIA - IBGE - 530020,DF,HOSPITAL GERAL,,ESTADUAL,ESTADUAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=5300200010545&VEstado=53&VCodMunicipio=530020,5300200010545,53,530020,53ff9bb82a2a7d44711e627c
ETERNA MEDICINA PREVENTIVA E ESTETICA,7432216,08327203000107,JAMARTUPE SERVICOS MEDICOS E DE ENFERMAGEM LTDA,--,JURÍDICA,QUADRA 12 LOTE 14 LOJA,01,33914703,,SETOR TRADICIONAL,72720120,BRAZLANDIA - IBGE - 530020,DF,CLINICA/CENTRO DE ESPECIALIDADE,OUTROS,PRIVADA,ESTADUAL,EMPRESA PRIVADA,INDIVIDUAL,02687/2012,,17/09/2012,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=5300207432216&VEstado=53&VCodMunicipio=530020,5300207432216,53,530020,53ff9bb92a2a7d44711e627d
ESO ESTETICA ODONTOLOGICA,5431689,,ANDRE VIEIRA SOARES,--,FÍSICA,QUADRA 01,36,61 33915990,SETOR NORTE,SETOR NORTE,72705010,BRAZLANDIA - IBGE - 530020,DF,CONSULTORIO ISOLADO,,PRIVADA,ESTADUAL,EMPRESA PRIVADA,INDIVIDUAL,37,SES,01/09/2010,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=5300205431689&VEstado=53&VCodMunicipio=530020,5300205431689,53,530020,53ff9bb92a2a7d44711e627e
DRA BEATRIZ,6866174,,BEATRIZ DE CASTRO RIBEIRO FERREIRA,--,FÍSICA,QUADRA 01 LOTE 36 SALA,102,33915990,SETOR NORTE,BRAZLANDIA,72705010,BRAZLANDIA - IBGE - 530020,DF,CONSULTORIO ISOLADO,,PRIVADA,ESTADUAL,EMPRESA PRIVADA,INDIVIDUAL,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=5300206866174&VEstado=53&VCodMunicipio=530020,5300206866174,53,530020,53ff9bba2a2a7d44711e627f
DERMANE MEDICINA E ESTETICA,6820689,,PATRICIA GAIAO CHAVES,--,FÍSICA,QUADRA 04 LOTE 11 A LOJA,113,41413730,SETOR NORTE,BRAZLANDIA,72705050,BRAZLANDIA - IBGE - 530020,DF,CONSULTORIO ISOLADO,,PRIVADA,ESTADUAL,EMPRESA PRIVADA,INDIVIDUAL,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=5300206820689&VEstado=53&VCodMunicipio=530020,5300206820689,53,530020,53ff9bba2a2a7d44711e6280
DANIELA MUKAI,5431654,,DANIELA MUKAI,--,FÍSICA,QD 3 BL B SL 3 E 4 SETOR NORTE,1,,,SETOR NORTE,72705532,BRAZLANDIA - IBGE - 530020,DF,CONSULTORIO ISOLADO,,PRIVADA,ESTADUAL,SERVIÇO SOCIAL AUTONOMO,INDIVIDUAL,166,SES,23/06/2006,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=5300105431654&VEstado=53&VCodMunicipio=530020,5300105431654,53,530020,53ff9bba2a2a7d44711e6281
CSBZ 02 BRAZLANDIA,6662358,,CENTRO DE SAUDE N 02 BRAZLANDIA,--,JURÍDICA,QUADRA 45 AREA ESPECIAL,001,6133917124,VILA SAO JOSE,BRAZLANDIA,72745000,BRAZLANDIA - IBGE - 530020,DF,CENTRO DE SAUDE/UNIDADE BASICA,,ESTADUAL,ESTADUAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=5300206662358&VEstado=53&VCodMunicipio=530020,5300206662358,53,530020,53ff9bbb2a2a7d44711e6282
CSBZ 01 BRAZLANDIA,0011215,,CENTRO DE SAUDE N01,--,JURÍDICA,QUADRA NORTE,S/N,(61) 4794904,,BRAZLANDIA,72710065,BRAZLANDIA - IBGE - 530020,DF,CENTRO DE SAUDE/UNIDADE BASICA,,ESTADUAL,ESTADUAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=5300200011215&VEstado=53&VCodMunicipio=530020,5300200011215,53,530020,53ff9bbb2a2a7d44711e6283
CONSULTORIO ODONTOLOGICO,6239773,,FERNANDO JOSE DA SILVA,--,FÍSICA,QUADRA 01 LOTE 36 SALA,101,33911255,SETOR NORTE,BRAZLANDIA,72705010,BRAZLANDIA - IBGE - 530020,DF,CONSULTORIO ISOLADO,,PRIVADA,ESTADUAL,EMPRESA PRIVADA,INDIVIDUAL,00169/2008,,12/12/2008,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=5300206239773&VEstado=53&VCodMunicipio=530020,5300206239773,53,530020,53ff9bbc2a2a7d44711e6284
CRISTHIANE DA SILVA GERALDINI PIMENTA,2627469,,CRISTHIANE DA SILVA GERALDINI PIMENTA,--,FÍSICA,QUADRA 06 LOTE 27 SETOR TRADICIONAL,S/N,32258832,,BRAZLANDIA,72720060,BRAZLANDIA - IBGE - 530020,DF,CONSULTORIO ISOLADO,,PRIVADA,ESTADUAL,SERVIÇO SOCIAL AUTONOMO,INDIVIDUAL,00153,SES,19/06/2006,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=5300202627469&VEstado=53&VCodMunicipio=530020,5300202627469,53,530020,53ff9bbc2a2a7d44711e6285
COMUNIDADE TERAPEUTICA AMIGONIANA,7068883,05914716000118,PASTORAL AMIGONIANA DE ACAO SOCIAL PAAS,--,JURÍDICA,DF 415 KM 01 NUCLEO RURAL CAPAO DA ONCA,0809,34796725,FAZENDA ASA VERDE,BRAZLANDIA,72705970,BRAZLANDIA - IBGE - 530020,DF,CLINICA/CENTRO DE ESPECIALIDADE,,PRIVADA,ESTADUAL,FUNDACAO PRIVADA,INDIVIDUAL,00049/2012,,13/06/2012,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=5300207068883&VEstado=53&VCodMunicipio=530020,5300207068883,53,530020,53ff9bbd2a2a7d44711e6286
COB,3039846,01271567000165,CENTRO ODONTOLOGICO BRAZLANDIA LTDA,--,JURÍDICA,QUADRA 02,06,33913699,TERREO,SETOR NORTE,72710020,BRAZLANDIA - IBGE - 530020,DF,CONSULTORIO ISOLADO,,PRIVADA,ESTADUAL,EMPRESA PRIVADA,INDIVIDUAL,IV/14/2009,SES,29/04/2009,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=5300203039846&VEstado=53&VCodMunicipio=530020,5300203039846,53,530020,53ff9bbd2a2a7d44711e6287
CLINICA VIDA,5431646,,ANDREIA AREAL MARINOS JORDY,--,FÍSICA,QUADRA 04 LOTE 25 SALAS,101102,34793072,SETOR NORTE,BRAZLANDIA,72710040,BRAZLANDIA - IBGE - 530020,DF,CONSULTORIO ISOLADO,,PRIVADA,ESTADUAL,SERVIÇO SOCIAL AUTONOMO,INDIVIDUAL,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=5300205431646&VEstado=53&VCodMunicipio=530020,5300205431646,53,530020,53ff9bbe2a2a7d44711e6288
CLINICA ORTOPEDICA DE BRAZLANDIA,5431603,05834687000184,CLINICA ORTOPEDICA DE BRAZLANDIA LTDA,--,JURÍDICA,QUADRA 19 LOTE,23,33916000,BRAZLANDIA DF,SETOR TRADICIONA,72720190,BRAZLANDIA - IBGE - 530020,DF,CLINICA/CENTRO DE ESPECIALIDADE,,PRIVADA,ESTADUAL,EMPRESA PRIVADA,INDIVIDUAL,IV/23/2005,,02/08/2005,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=5300205431603&VEstado=53&VCodMunicipio=530020,5300205431603,53,530020,53ff9bbe2a2a7d44711e6289
CLINICA ODONTOLOGICA YASSUNAGA,6017495,,CLAUDIO SHODO YASSUNAGA,--,FÍSICA,QUADRA 38 CONJUNTO E LOTE 21 SALA,101,33915450,,BRAZLANDIA,72738005,BRAZLANDIA - IBGE - 530020,DF,CONSULTORIO ISOLADO,,PRIVADA,ESTADUAL,EMPRESA PRIVADA,INDIVIDUAL,IV/05/09,SES,30/03/2009,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=5300206017495&VEstado=53&VCodMunicipio=530020,5300206017495,53,530020,53ff9bbf2a2a7d44711e628a
CLINICA DE OLHOS PRECISA,5431581,08211741000123,MARILEIDE SILVA HENRIQUES,--,JURÍDICA,QUADRA 05 LOTE 23 LOJA,02,6134796679,,BRAZLANDIA,72705050,BRAZLANDIA - IBGE - 530020,DF,CONSULTORIO ISOLADO,,PRIVADA,ESTADUAL,EMPRESA PRIVADA,INDIVIDUAL,00144/2008,SES,22/09/2008,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=5300205431581&VEstado=53&VCodMunicipio=530020,5300205431581,53,530020,53ff9bbf2a2a7d44711e628b
CENTRO INTEGRADO DE ATENDIMENTO DE BRAZLANDIA LTDA,3039870,01708461000186,CLINICA BUCAL DE BRAZLANDIA,--,JURÍDICA,QUADRA 4 1 ANDAR LOTE,31,(61)3911221,,SETOR NORTE,72710040,BRAZLANDIA - IBGE - 530020,DF,CONSULTORIO ISOLADO,,PRIVADA,ESTADUAL,EMPRESA PRIVADA,INDIVIDUAL,IV/32/2002,SES,30/09/2002,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=5300203039870&VEstado=53&VCodMunicipio=530020,5300203039870,53,530020,53ff9bc02a2a7d44711e628c
BRAZMED DIAGNOSTICO,7474296,18128194000170,BRAZMED DIAGNOSTICO POR IMAGEM LTDA ME,--,JURÍDICA,QUADRA 19,23,61-33915224,,SETOR TRADICIONAL,72720190,BRAZLANDIA - IBGE - 530020,DF,CLINICA/CENTRO DE ESPECIALIDADE,OUTROS,PRIVADA,ESTADUAL,EMPRESA PRIVADA,INDIVIDUAL,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=5300207474296&VEstado=53&VCodMunicipio=530020,5300207474296,53,530020,53ff9bc02a2a7d44711e628d
NUCLEO DE INSPENCAO DA CANDANGOLANDIA,3410161,,NUCLEO DE INSPENCAO DA CANDANGOLANDIA,--,JURÍDICA,RUA DOS TRANSPORTES AREA ESPECIAL,01,(61)3015200,,CANDANGOLANDIA,71725401,CANDANGOLANDIA - IBGE - 530030,DF,UNIDADE DE VIGILANCIA EM SAUDE,,ESTADUAL,ESTADUAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=5300303410161&VEstado=53&VCodMunicipio=530030,5300303410161,53,530030,53ff9bc02a2a7d44711e628e
MARCO PAULO SILVA FONSECA,2617331,,MARCO PAULO SILVA FONSECA,--,FÍSICA,QUADRA 02 MI 01 LOTE 01 SALA 103,,(61)3016612,,CANDANGOLANDIA,71725200,CANDANGOLANDIA - IBGE - 530030,DF,CLINICA/CENTRO DE ESPECIALIDADE,,PRIVADA,ESTADUAL,EMPRESA PRIVADA,INDIVIDUAL,42/2001,SES,20/09/2001,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=5300302617331&VEstado=53&VCodMunicipio=530030,5300302617331,53,530030,53ff9bc12a2a7d44711e628f
JULIANE NOLETO FONSECA MARTINS,6611184,,JULIANE NOLETO FONSECA MARTINS,--,FÍSICA,QR 02 MI 3 SALA,3,33018814,,CANDANGOLANDIA,71725213,CANDANGOLANDIA - IBGE - 530030,DF,CONSULTORIO ISOLADO,,PRIVADA,ESTADUAL,EMPRESA PRIVADA,INDIVIDUAL,00057,SES,18/08/2010,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=5300306611184&VEstado=53&VCodMunicipio=530030,5300306611184,53,530030,53ff9bc22a2a7d44711e6290
DANIEL SOARES ROSA,3501132,,DANIEL SOARES ROSA,--,FÍSICA,QR 02 MI 03 SALA,02,33018814,,CANDANGOLANDIA,71725213,CANDANGOLANDIA - IBGE - 530030,DF,CONSULTORIO ISOLADO,,PRIVADA,ESTADUAL,EMPRESA PRIVADA,INDIVIDUAL,0032/2009,SES,19/05/2009,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=5300303501132&VEstado=53&VCodMunicipio=530030,5300303501132,53,530030,53ff9bc22a2a7d44711e6291
CSCA 01 CANDANGOLANDIA,0011185,,CENTRO DE SAUDE 01 CANDANGOLANDIADRSCNBRF,--,JURÍDICA,E Q 5 7 CENTRO DE SAUDE AREA ESPECIAL,38,(61)33016763,EQ 01CA SIAB 031,CANDANGOLANDIA,71725400,CANDANGOLANDIA - IBGE - 530030,DF,CENTRO DE SAUDE/UNIDADE BASICA,,ESTADUAL,ESTADUAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,SES,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=5300300011185&VEstado=53&VCodMunicipio=530030,5300300011185,53,530030,53ff9bc22a2a7d44711e6292
CONSULTORIO ODONTOLOGICO,2617773,,LUIZ ANTONIO ALVES DE ARAUJO,--,FÍSICA,EQR 05 07 MU 01 LOJA,01,61 33016769,,CANDANGOLANDIA,71725500,CANDANGOLANDIA - IBGE - 530030,DF,CONSULTORIO ISOLADO,,PRIVADA,ESTADUAL,EMPRESA PRIVADA,INDIVIDUAL,047/2009,SES,22/04/2009,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=5300302617773&VEstado=53&VCodMunicipio=530030,5300302617773,53,530030,53ff9bc32a2a7d44711e6293
CLINICA DE PSICOLOGIA,6292755,08491679000170,CLINICA DE PSICOLOGIA E MEDICINA DO TRANSITO S S LTDA,--,JURÍDICA,QOF CONJUNTO A LOTE,3,99029696,,CANDANGOLANDIA,71727250,CANDANGOLANDIA - IBGE - 530030,DF,CONSULTORIO ISOLADO,,PRIVADA,ESTADUAL,EMPRESA PRIVADA,INDIVIDUAL,00002/2007,SES,17/01/2007,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=5300306292755&VEstado=53&VCodMunicipio=530030,5300306292755,53,530030,53ff9bc32a2a7d44711e6294
ART DENT ODONTOLOGIA,2617781,,TONYELA CARIA MARQUES,--,FÍSICA,QUADRA 03 CONJD LOTE 01 SOBRELOJA 03,,(61)3011183,,CANDANGOLANDIA,71725300,CANDANGOLANDIA - IBGE - 530030,DF,CLINICA/CENTRO DE ESPECIALIDADE,,PRIVADA,ESTADUAL,EMPRESA PRIVADA,INDIVIDUAL,054/01,SES,14/08/2001,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=5300302617781&VEstado=53&VCodMunicipio=530030,5300302617781,53,530030,53ff9bc42a2a7d44711e6295
ART DENT ODONTOLOGIA,3109151,,CINTHIA DE OLIVEIRA MAGALHAES MORAES,--,FÍSICA,QR03 CONJUNTO C CASA,03,(61)3011183,2 ANDAR,CANDANGOLANDIA,71725300,CANDANGOLANDIA - IBGE - 530030,DF,CONSULTORIO ISOLADO,,PRIVADA,ESTADUAL,EMPRESA PRIVADA,INDIVIDUAL,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=5300303109151&VEstado=53&VCodMunicipio=530030,5300303109151,53,530030,53ff9bc42a2a7d44711e6296
ANGELA CRISTINA FERRAZ REBELLO,6292747,,ANGELA CRISTINA FERRAZ REBELLO,--,FÍSICA,QR 02 MI03 SALA,03,33018814,,CANDANGOLANDIA,71725213,CANDANGOLANDIA - IBGE - 530030,DF,CONSULTORIO ISOLADO,,PRIVADA,ESTADUAL,EMPRESA PRIVADA,INDIVIDUAL,51,SES,10/07/2007,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=5300306292747&VEstado=53&VCodMunicipio=530030,5300306292747,53,530030,53ff9bc52a2a7d44711e6297
ANDRE MARTINS LOPES,5442494,,ANDRE MARTINS LOPES,--,FÍSICA,QUADRA 02 MI 1 SALA,102,,,CANDANGOLANDIA,71725200,CANDANGOLANDIA - IBGE - 530030,DF,CONSULTORIO ISOLADO,,PRIVADA,ESTADUAL,SERVIÇO SOCIAL AUTONOMO,INDIVIDUAL,014/2010,SES,22/04/2010,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=5300305442494&VEstado=53&VCodMunicipio=530030,5300305442494,53,530030,53ff9bc52a2a7d44711e6298
YOSHIMITSU MORINAKA,3093158,,YOSHIMITSU MORINAKA,--,FÍSICA,CNN 02 BLOCO C LOTE,S/N,33729303,SALA 102,CEILANDIA NORTE,72210503,CEILANDIA - IBGE - 530040,DF,CONSULTORIO ISOLADO,,PRIVADA,ESTADUAL,EMPRESA PRIVADA,INDIVIDUAL,232,,30/04/2009,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=5300403093158&VEstado=53&VCodMunicipio=530040,5300403093158,53,530040,53ff9bc62a2a7d44711e6299
3 DIMENSAO TOMOGRAFIA DA FACE,6417655,06056327000323,3 DIMENSAO DIAGNOSTICO POR IMAGEM S S,--,JURÍDICA,QNM 17 CONJUNTO H LOTE 04 06 SALA,107,33879705,,CEILANDIA SUL,72215178,CEILANDIA - IBGE - 530040,DF,CONSULTORIO ISOLADO,,PRIVADA,ESTADUAL,EMPRESA PRIVADA,INDIVIDUAL,434/09,SES,27/11/2009,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=5300406417655&VEstado=53&VCodMunicipio=530040,5300406417655,53,530040,53ff9bc62a2a7d44711e629a
